STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10
48,78650,4878650,B5,G6350,S,172543341,488366,+30.3038849,-097.2188991,N
48,76542,4876542,B5,G6350,S,208671526,2788181,+31.0096405,-097.7464174,N
48,76501,4876501,B5,G6350,S,302603143,2020926,+31.0753033,-097.2524335,N
48,76519,4876519,B5,G6350,S,132420522,557621,+31.0208324,-097.1206900,N
48,76569,4876569,B5,G6350,S,210970071,2438215,+30.9401832,-097.2270231,N
48,76508,4876508,B5,G6350,S,149411,0,+31.0775682,-097.3640644,N
48,78669,4878669,B5,G6350,S,361644669,23918120,+30.4300444,-098.1126548,N
48,76567,4876567,B5,G6350,S,501363818,2433523,+30.6495465,-097.0061255,N
48,78656,4878656,B5,G6350,S,55560781,304458,+29.9047585,-097.8072961,N
48,78655,4878655,B5,G6350,S,92420333,564687,+29.8160023,-097.8350416,N
48,77475,4877475,B5,G6350,S,61521039,1235121,+29.4886244,-096.6524673,N
48,78947,4878947,B5,G6350,S,553611493,3218720,+30.4201535,-097.0358311,N
48,78728,4878728,B5,G6350,S,21002465,47256,+30.4526741,-097.6893683,N
48,78739,4878739,B5,G6350,S,29613883,0,+30.1784193,-097.8886618,N
48,78633,4878633,B5,G6350,S,213074925,3298238,+30.7476604,-097.7580710,N
48,76530,4876530,B5,G6350,S,241929847,13273057,+30.7108572,-097.4138850,N
48,78957,4878957,B5,G6350,S,484811743,5373490,+30.0138990,-097.1821482,N
48,78659,4878659,B5,G6350,S,294267606,1018576,+30.2074166,-097.1253892,N
48,78621,4878621,B5,G6350,S,484332278,2480793,+30.3385840,-097.3612237,N
48,76541,4876541,B5,G6350,S,12305792,26522,+31.1128837,-097.7296024,N
48,76543,4876543,B5,G6350,S,125849014,889954,+31.1492080,-097.6331958,N
48,76559,4876559,B5,G6350,S,17391911,251150,+31.0759554,-097.6043690,N
48,76502,4876502,B5,G6350,S,161250624,6406153,+31.1039315,-097.4120197,N
48,78256,4878256,B5,G6350,S,22503004,35991,+29.6247245,-098.6240481,N
48,78636,4878636,B5,G6350,S,905690423,7174612,+30.3151958,-098.4235094,N
48,78644,4878644,B5,G6350,S,483329667,1847143,+29.8714708,-097.6767716,N
48,78666,4878666,B5,G6350,S,457268418,2434051,+29.8801625,-097.9661644,N
48,78661,4878661,B5,G6350,S,6583869,177873,+29.7283315,-097.7564378,N
48,78130,4878130,B5,G6350,S,239149447,3190302,+29.6968776,-098.0707255,N
